AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,feature_set,H,model
0.8459373042106855,0.15877868765365863,0.10813160711356506,0.5215755138706324,0.7739615273916836,0.5735735735735735,0.5148494571636538,-0.3889935420226171,0.6820459049516742,0.9562165715233546,0.9344413635683478,0.11538007174688902,18,nasa,full,10,xgboost
0.7539762784367101,0.18344830040901727,0.14429565923930374,0.5595157547658579,0.6064897519067952,0.2912912912912913,0.5105966747370385,-0.29998011324918394,,,0.8956265544281418,0.16764488224782248,18,nasa,full,10,xgboost
0.8077235508890186,0.1759845304707329,0.12302499657966998,0.5212039656729983,0.6086231054153711,0.2912912912912913,0.9893692494969282,-0.01613061170860012,0.6804446089524083,0.9287944403953406,0.9344413635683478,0.11538007174688902,18,nasa,full,10,xgboost
0.8237453280618748,0.15795062460189957,0.08583991157398183,0.4822914018488566,0.699549551444583,0.44144144144144143,1.1440053541567865,-0.3774828981901331,,,0.9344413635683478,0.11538007174688902,18,nasa,full,10,xgboost
0.8068772659565498,0.1915056963812111,0.13383450720658874,0.6542280113542472,0.7565693747319036,0.5166240409207161,0.4094353024939801,-0.3259528519647226,0.6444873027956497,0.9376773473212453,0.942068718689708,0.10489643362213777,11,nasa,full,20,xgboost
0.717403349299586,0.2111407255341124,0.16136066161667073,0.9547730810991037,0.6264722212517114,0.3452685421994885,0.13188865039933861,-0.460509227644919,,,0.9271099907964881,0.10358701673146807,11,nasa,full,20,xgboost
0.7368318564884149,0.2037007269641415,0.11441820181074319,0.5915608948196895,0.6422551517981265,0.3069053708439898,0.8403125622891697,-0.15103098808030205,0.5891706477750205,0.9100315629247318,0.942068718689708,0.10489643362213777,11,nasa,full,20,xgboost
0.778772378516624,0.18959174630105827,0.104431292145729,0.567430156416911,0.6920346277320325,0.3375959079283887,0.8845237640714187,-0.3507017723315791,,,0.942068718689708,0.10489643362213777,11,nasa,full,20,xgboost
0.8337244280483012,0.17668846523887186,0.1276628752265095,0.6228283598329408,0.8060189802463833,0.5710955710955711,0.44543521674226,-0.27078298901548276,0.6911310180665585,0.9492989611893378,0.9521320239346914,0.06119440066212594,11,nasa,full,30,xgboost
0.7478781652404356,0.213519937857586,0.181429859297101,0.8059446940210893,0.6801278117614034,0.4405594405594406,0.1916525312533412,-0.30625111806733013,,,0.8801829881456499,0.15752175432174362,11,nasa,full,30,xgboost
0.7660280732067042,0.19251110469580135,0.10445312686202114,0.5695950121372767,0.7201750420601213,0.36363636363636365,0.9778899838213991,-0.11501993057625397,0.6312105817262663,0.9190194674156408,0.9521320239346914,0.06119440066212594,11,nasa,full,30,xgboost
0.8003743613092528,0.18226934694334676,0.12049785538810112,0.5545863059842508,0.7374262140145212,0.38927738927738925,0.9571911504303253,-0.24581857956317726,,,0.9521320239346914,0.06119440066212594,11,nasa,full,30,xgboost
0.8869061150261424,0.13882129274507146,0.0987329453246664,0.4771713507414184,0.8716380081159053,0.6365461847389559,0.634204154494041,-0.3984012867264309,0.7932822170689695,0.963325121565121,0.9633022621117859,0.05088757559429615,7,nasa,full,50,xgboost
0.8210237175115557,0.1762636086709755,0.1665312774495051,0.5958036899361673,0.7890527908287487,0.5120481927710844,0.5635691528547038,-0.16435274144410922,,,0.9223761630089952,0.11582248139003667,7,nasa,full,50,xgboost
0.8412101235129196,0.1552803832883814,0.1282766155762012,0.48791242664862666,0.8014037050559776,0.40160642570281124,1.1805076701685384,-0.20240493110107988,0.747711402647217,0.946163465011423,0.9633022621117859,0.05088757559429615,7,nasa,full,50,xgboost
0.8601007804804122,0.14897374261810573,0.10813586288891962,0.47143981912478083,0.8209808096469036,0.45582329317269077,1.325826455952004,-0.2812246046843364,,,0.9633022621117859,0.05088757559429615,7,nasa,full,50,xgboost
0.7899150949510663,0.20285518726161206,0.1604050880322847,0.638933105861174,0.6612278818432781,0.4084084084084084,0.40541713389170897,-0.47495890683909214,0.6226618484112372,0.9261809629150797,0.9079032146571829,0.1544328107889778,18,nasa,no_soh,10,xgboost
0.7039406312787608,0.20265094788123386,0.17181400402811592,0.5868738107867294,0.5684227979344794,0.24324324324324326,0.38011701198604864,-0.4598120689348001,,,0.8781782556584143,0.17761282180184743,18,nasa,no_soh,10,xgboost
